0, 0, 0, 0, 0, 0, 0, 0
1,caw_kar,9304,n/a,n/a,,,28/1/2026
2,caw_kar,9063,n/a,n/a,,,28/1/2026
3,caw_kar,55M,n/a,n/a,,,28/1/2026
4,caw_kar,1317T,n/a,n/a,,,28/1/2026
5,caw_kar,1685T,n/a,n/a,,,28/1/2026
6,caw_kar,980M,n/a,n/a,,,29/1/2026
7,caw_kar,9154,n/a,n/a,,,29/1/2026
8,caw_kar,9005,n/a,n/a,,,29/1/2026
9,caw_kar,122M,n/a,n/a,,,29/1/2026
10,caw_kar,2513T,n/a,n/a,,,2/2/2026
11,caw_kar,233M,n/a,n/a,,,2/2/2026
12,caw_kar,949M,n/a,n/a,,,3/2/2026
13,caw_kar,2540T,n/a,n/a,,,3/2/2026
14,caw_kar,43M,n/a,n/a,,,3/2/2026
15,caw_kar,1659T,n/a,n/a,,,3/2/2026
16,caw_kar,1008T,n/a,n/a,,,4/2/2026
17,caw_kar,188M,n/a,n/a,,,4/2/2026
18,caw_kar,262M,n/a,n/a,,,4/2/2026
19,caw_kar,1424T,n/a,n/a,,,4/2/2026
20,caw_kar,873M,n/a,n/a,,,5/2/2026
21,caw_kar,77M,n/a,n/a,,,5/2/2026
22,caw_kar,85M,n/a,n/a,,,5/2/2026
23,caw_kar,974M,n/a,n/a,,,5/2/2026
24,caw_kar,964M,n/a,n/a,,,6/2/2026
25,caw_kar,1132T,n/a,n/a,,,6/2/2026
26,caw_kar,923M,n/a,n/a,,,6/2/2026
27,caw_kar,196M,n/a,n/a,,,6/2/2026
28,caw_kar,946M,n/a,n/a,,,9/2/2026
29,caw_kar,9232,n/a,n/a,,,9/2/2026
30,caw_kar,1370T,n/a,n/a,,,9/2/2026
31,caw_kar,1419T,n/a,n/a,,,9/2/2026
32,caw_kar,132M,n/a,n/a,,,10/2/2026
33,caw_kar,2524T,n/a,n/a,,,10/2/2026
34,caw_kar,1027T,n/a,n/a,,,10/2/2026
35,caw_kar,948M,n/a,n/a,,,10/2/2026
36,caw_kar,1434T,n/a,n/a,,,11/2/2026
37,caw_kar,2547T,n/a,n/a,,,11/2/2026
38,caw_kar,663M,n/a,n/a,,,11/2/2026
39,caw_kar,162M,n/a,n/a,,,11/2/2026
40,caw_kar,139M,n/a,n/a,,,12/2/2026
41,caw_kar,1182T,n/a,n/a,,,12/2/2026
42,caw_kar,799M,n/a,n/a,,,12/2/2026
43,caw_kar,149M,n/a,n/a,,,12/2/2026
44,caw_kar,913M,n/a,n/a,,,13/2/2026
45,caw_kar,2557T,n/a,n/a,,,13/2/2026
46,caw_kar,742M,n/a,n/a,,,13/2/2026
47,caw_kar,235M,n/a,n/a,,,13/2/2026
48,caw_kar,3M,n/a,n/a,,,13/2/2026
49,caw_kar,1340T,n/a,n/a,,,16/2/2026
50,caw_kar,1665T,n/a,n/a,,,16/2/2026
51,caw_kar,914M,n/a,n/a,,,16/2/2026
52,caw_kar,744M,n/a,n/a,,,16/2/2026
53,caw_kar,121M,n/a,n/a,,,17/2/2026
54,caw_kar,1185T,n/a,n/a,,,17/2/2026
55,caw_kar,2551T,n/a,n/a,,,17/2/2026
56,caw_kar,127M,n/a,n/a,,,17/2/2026
57,caw_kar,985M,n/a,n/a,,,18/2/2026
58,caw_kar,2502T,n/a,n/a,,,18/2/2026
59,caw_kar,564M,n/a,n/a,,,18/2/2026
60,caw_kar,785M,n/a,n/a,,,18/2/2026
61,caw_kar,1374T,n/a,n/a,,,18/2/2026
